title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
8 1/2 (re-issue),N/A,N/A,"$163,900",Kino,"April 9, 1999",Foreign,2 hrs. 18 min.,Unrated,N/A,"$98,760",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8 1/2 Women,N/A,N/A,"$663,300",Lions Gate,"May 26, 2000",Comedy,2 hrs. 0 min.,R,N/A,"$424,123",Toni Collette,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8 Heads in a Duffel Bag,N/A,N/A,"$6,617,100",Orion Pictures,"April 18, 1997",Crime Comedy,1 hrs. 35 min.,R,N/A,N/A,David Spade,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8 Mile,Curtis Hanson,N/A,"$169,272,800",Universal,"November 8, 2002",Music Drama,1 hrs. 58 min.,R,$41 million,"$242,875,078",Eminem,Brittany Murphy,Kim Basinger,Anthony Mackie*,N/A,N/A,Brian Grazer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8 Million Ways to Die,N/A,N/A,"$2,965,500",TriStar,"April 25, 1986",Unknown,1 hrs. 55 min.,R,N/A,N/A,Jeff Bridges,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,James Newton Howard,N/A
8 Seconds,N/A,N/A,"$39,575,400",New Line,"February 25, 1994",Sports Drama,1 hrs. 44 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Michael Shamberg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8 Women,N/A,N/A,"$4,496,200",Focus Features,"September 6, 2002",Foreign,1 hrs. 43 min.,R,N/A,"$42,426,583",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
800 Bullets,N/A,N/A,"$1,200",TLA Releasing,"October 29, 2004",Foreign,2 hrs. 4 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
84 Charing Cross Road,N/A,N/A,"$2,336,000",Columbia,"February 13, 1987",Unknown,1 hrs. 40 min.,PG,N/A,N/A,Anne Bancroft,Anthony Hopkins,Judi Dench,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,George Fenton,N/A
88 Minutes,N/A,N/A,"$20,210,200",Sony / Columbia,"April 18, 2008",Thriller,1 hrs. 48 min.,R,N/A,"$32,593,385",Al Pacino,N/A,N/A,N/A,N/A,N/A,Lawrence Bender,Randall Emmett,George Furla,N/A,N/A,N/A,N/A,N/A,Ed Shearmur,N/A
8:<br/>The Mormon Proposition,N/A,N/A,"$106,300",Red Flag Releasing,"June 18, 2010",Documentary,1 hrs. 20 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8MM,Joel Schumacher,N/A,"$60,840,900",Sony / Columbia,"February 26, 1999",Thriller,2 hrs. 4 min.,R,$40 million,"$96,618,699",Nicolas Cage,Joaquin Phoenix,James Gandolfini,N/A,N/A,N/A,Gavin Polone,N/A,N/A,N/A,N/A,N/A,Andrew Kevin Walker,N/A,Mychael Danna,N/A
9,N/A,N/A,"$35,711,600",Focus Features,"September 9, 2009",Animation,1 hrs. 19 min.,PG-13,$30 million,"$48,428,063",Elijah Wood,Jennifer Connelly,Christopher Plummer,John C. Reilly,N/A,N/A,Timur Bekmambetov,Tim Burton,N/A,N/A,N/A,N/A,N/A,N/A,Deborah Lurie,N/A
9 1/2 Weeks,N/A,N/A,"$15,305,600",MGM,"February 21, 1986",Unknown,1 hrs. 58 min.,R,N/A,N/A,Kim Basinger,Mickey Rourke,N/A,N/A,N/A,N/A,Sidney Kimmel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Randy Newman*,N/A
9 Songs,Michael Winterbottom,N/A,"$87,900",Tartan,"July 22, 2005",Romance,1 hrs. 9 min.,Unrated,N/A,"$1,574,623",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9 to 5,N/A,N/A,"$323,694,800",Fox,"December 19, 1980",Comedy,1 hrs. 50 min.,PG,N/A,N/A,Lily Tomlin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
