title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
Author! Author!,N/A,N/A,"$37,594,100",Fox,"June 18, 1982",Comedy,1 hrs. 50 min.,PG,N/A,N/A,Al Pacino,N/A,N/A,N/A,N/A,N/A,Irwin Winkler,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Author:<br/>The JT LeRoy Story,N/A,N/A,"$84,700",Magnolia,"September 9, 2016",Documentary,1 hrs. 51 min.,R,N/A,"$85,999",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Auto Focus,Paul Schrader,N/A,"$2,988,400",Sony Classics,"October 18, 2002",Drama,1 hrs. 45 min.,R,N/A,"$2,704,951",Greg Kinnear,Willem Dafoe,Maria Bello,N/A,N/A,N/A,Trevor Macy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Auto Shop of Horrors,N/A,N/A,"$4,100",Driving With Our Eyes Shut,"September 23, 2016",Horror Comedy,1 hrs. 27 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Autobiography of Nicolae Ceausescu,N/A,N/A,"$36,300",The Film Desk,"September 9, 2011",Foreign,3 hrs. 0 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Automatic Hate,N/A,N/A,"$4,500",Film Movement,"March 11, 2016",Comedy / Drama,1 hrs. 37 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Autumn,N/A,N/A,"$16,300",Truly Indie,"June 9, 2006",Foreign,1 hrs. 50 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Autumn in New York,N/A,N/A,"$59,059,900",MGM,"August 11, 2000",Romance,1 hrs. 44 min.,PG-13,$65 million,"$90,726,668",Richard Gere,Winona Ryder,N/A,N/A,N/A,N/A,Gary Lucchesi,Tom Rosenberg,N/A,N/A,N/A,N/A,Allison Burnett,N/A,Gabriel Yared,N/A
Autumn Spring,N/A,N/A,"$134,300",First Look,"August 22, 2003",Unknown,1 hrs. 37 min.,PG-13,N/A,"$96,269",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Autumn Tale,N/A,N/A,"$3,659,600",October,"July 9, 1999",Foreign,1 hrs. 10 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Avalon,Barry Levinson,N/A,"$31,370,000",Triumph,"October 5, 1990",Period Drama,2 hrs. 8 min.,R,N/A,N/A,Elijah Wood,N/A,N/A,N/A,N/A,N/A,Mark Johnson,Barry Levinson,N/A,N/A,N/A,N/A,Barry Levinson,N/A,Randy Newman,N/A
Avatar,James Cameron,N/A,"$808,471,900",Fox,"December 18, 2009",Sci-Fi Adventure,2 hrs. 40 min.,PG-13,N/A,"$2,787,965,087",Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,Giovanni Ribisi,Joel David Moore,James Cameron,Laeta Kalogridis,Jon Landau,Colin Wilson,N/A,N/A,James Cameron,N/A,James Horner,N/A
Avatar:<br/>Special Edition,N/A,N/A,"$11,390,000",Fox,"August 27, 2010",Sci-Fi Adventure,2 hrs. 40 min.,PG-13,N/A,"$782,976,983",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Avengers (1998),N/A,N/A,"$42,033,100",Warner Bros.,"August 14, 1998",Action Comedy,1 hrs. 30 min.,PG-13,$60 million,"$23,384,939",Ralph Fiennes,Uma Thurman,Sean Connery,Jim Broadbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Don Macpherson,N/A,N/A,N/A
Avengers:<br/>Age of Ultron,Joss Whedon,N/A,"$451,231,900",Buena Vista,"May 1, 2015",Action / Adventure,2 hrs. 21 min.,PG-13,$250 million,"$1,405,403,694","Robert Downey, Jr.",Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson,Jeremy Renner,Victoria Alonso,Louis D'Esposito,Jon Favreau,Kevin Feige,Alan Fine,Stan Lee,Joss Whedon,N/A,Danny Elfman,Brian Tyler
Avenging Angel,N/A,N/A,"$13,352,100",New World,"January 11, 1985",Unknown,1 hrs. 33 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Christopher Young,N/A
Avenging Force,N/A,N/A,"$10,633,300",Cannon Films,"September 12, 1986",Action,1 hrs. 43 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Avenue Montaigne,N/A,N/A,"$2,505,500",ThinkFilm,"February 16, 2007",Foreign,1 hrs. 46 min.,PG-13,N/A,"$17,574,836",Cecile de France,Sydney Pollack,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Aviator,Martin Scorsese,N/A,"$135,800,800",Miramax,"December 17, 2004",Period Drama,2 hrs. 48 min.,PG-13,$110 million,"$213,741,459",Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,Alec Baldwin,Alan Alda,Ian Holm*,Leonardo DiCaprio,Graham King,Michael Mann,N/A,N/A,N/A,John Logan,N/A,Howard Shore,N/A
The Aviator (1985),N/A,N/A,"$3,097,000",MGM,"March 1, 1985",Unknown,1 hrs. 36 min.,PG,N/A,N/A,Christopher Reeve,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Awake,N/A,N/A,"$17,596,400",MGM (Weinstein),"November 30, 2007",Thriller,1 hrs. 24 min.,R,$8.6 million,"$32,685,679",Hayden Christensen,Jessica Alba,Terrence Howard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Awake:<br/>The Life of Yogananda,N/A,N/A,"$1,569,800",Counterpoint Films,"October 10, 2014",Documentary,1 hrs. 27 min.,PG,N/A,"$1,539,680",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Awakening,Mike Newell,N/A,"$26,371,500",Warner Bros.,"October 31, 1980",Unknown,1 hrs. 45 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Awakening (2012),N/A,N/A,"$227,200",Cohen Media Group,"August 17, 2012",Horror Thriller,1 hrs. 47 min.,R,N/A,N/A,Rebecca Hall,Imelda Staunton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Daniel Pemberton,N/A
Awakenings,Penny Marshall,N/A,"$104,310,900",Columbia,"December 22, 1990",Drama,2 hrs. 0 min.,PG-13,N/A,N/A,Robert DeNiro,Robin Williams,N/A,N/A,N/A,N/A,Penny Marshall,N/A,N/A,N/A,N/A,N/A,Steven Zaillian,N/A,Randy Newman,N/A
Away from Her,Sarah Polley,N/A,"$5,601,400",Lionsgate,"May 4, 2007",Drama,1 hrs. 50 min.,PG-13,N/A,"$9,194,283",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Away We Go,Sam Mendes,N/A,"$11,097,500",Focus Features,"June 5, 2009",Comedy,1 hrs. 38 min.,R,$17 million,"$14,899,417",John Krasinski,Maggie Gyllenhaal,Chris Messina*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Awesome:<br/>I F%!#in' Shot That,N/A,N/A,"$209,200",ThinkFilm,"March 31, 2006",Concert,1 hrs. 30 min.,R,N/A,"$177,683",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
An Awfully Big Adventure,Mike Newell,N/A,"$503,300",Fine Line,"July 21, 1995",Unknown,1 hrs. 52 min.,R,$4 million,N/A,Alan Rickman,Hugh Grant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Axe Giant:<br/>The Wrath of Paul Bunyan,N/A,N/A,"$3,500",Cinema Purgatorio,"May 31, 2013",Horror,1 hrs. 30 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ayn Rand:<br/>A Sense of Life,N/A,N/A,"$368,900",Strand,"February 13, 1998",Documentary,2 hrs. 25 min.,Unrated,"$1,000,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ayurveda:<br/>The Art of Being,N/A,N/A,"$45,700",Kino,"July 17, 2002",Documentary,1 hrs. 42 min.,Unrated,N/A,"$32,267",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Azumi,N/A,N/A,"$53,800",Vitagraph,"July 21, 2006",Foreign / Action,2 hrs. 8 min.,Unrated,N/A,"$6,710,522",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B-Side,N/A,N/A,"$9,100",Indican,"July 10, 2015",Romance,1 hrs. 38 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B. Monkey,Michael Radford,N/A,"$65,300",Miramax,"September 10, 1999",Unknown,1 hrs. 30 min.,R,N/A,"$39,371",Jared Harris,Jonathan Rhys Meyers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B.A.P.S.,N/A,N/A,"$13,309,400",New Line,"March 28, 1997",Comedy,1 hrs. 30 min.,PG-13,N/A,"$7,338,279",Halle Berry,Bernie Mac*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baadasssss!,N/A,N/A,"$496,500",Sony Classics,"May 28, 2004",Unknown,1 hrs. 48 min.,R,N/A,N/A,Nia Long,N/A,N/A,N/A,N/A,N/A,Michael Mann,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tyler Bates,N/A
The Baader Meinhof Complex,N/A,N/A,"$534,800",Vitagraph,"August 21, 2009",Foreign,2 hrs. 30 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baadshah,N/A,N/A,"$1,095,600",Eros,"August 27, 1999",Foreign,2 hrs. 47 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baaghi,N/A,N/A,"$423,200",UTV Communications,"April 29, 2016",Action Comedy,2 hrs. 13 min.,Unrated,N/A,"$438,207",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baahubali:<br/>The Beginning,N/A,N/A,"$6,885,000",Blue Sky Cinema,"July 9, 2015",Action / Adventure,2 hrs. 39 min.,Unrated,N/A,"$6,738,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baar Baar Dekho,N/A,N/A,"$972,700",Eros,"September 9, 2016",Comedy / Drama,2 hrs. 21 min.,Unrated,N/A,"$981,947",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bab'Aziz - The Prince Who Contemplated His Soul,N/A,N/A,"$105,300",Typecast Releasing,"February 8, 2008",Foreign,1 hrs. 38 min.,Unrated,N/A,"$353,119",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Babadook,N/A,N/A,"$988,900",IFC,"November 28, 2014",Horror,1 hrs. 32 min.,Unrated,N/A,"$10,312,540",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Babar, King of Elephants",N/A,N/A,"$377,300",Alliance,"February 26, 1999",Animation,1 hrs. 18 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Babar:<br/>The Movie,N/A,N/A,"$2,771,500",New Line,"July 28, 1989",Unknown,1 hrs. 19 min.,G,N/A,N/A,Sarah Polley*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Babe,N/A,N/A,"$122,957,300",Universal,"August 4, 1995",Family,1 hrs. 32 min.,G,N/A,"$254,134,910",N/A,N/A,N/A,N/A,N/A,N/A,George Miller,N/A,N/A,N/A,N/A,N/A,George Miller,N/A,N/A,N/A
The Babe,N/A,N/A,"$35,611,100",Universal,"April 17, 1992",Sports Drama,1 hrs. 55 min.,PG,N/A,"$19,930,973",John Goodman,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,John Fusco,N/A,Elmer Bernstein,N/A
Babe:<br/>Pig in the City,George Miller,N/A,"$32,328,200",Universal,"November 25, 1998",Family Adventure,1 hrs. 30 min.,G,$90 million,"$69,131,860",N/A,N/A,N/A,N/A,N/A,N/A,George Miller,N/A,N/A,N/A,N/A,N/A,George Miller,N/A,Randy Newman*,N/A
Babel,Alejandro González Iñárritu,N/A,"$43,225,200",Paramount Vantage,"October 27, 2006",Drama,2 hrs. 22 min.,R,N/A,"$135,330,182",Brad Pitt,Cate Blanchett,Gael Garcia Bernal,N/A,N/A,N/A,Steve Golin,Alejandro González Iñárritu,Jon Kilik,N/A,N/A,N/A,Guillermo Arriaga,N/A,N/A,N/A
Babette's Feast,N/A,N/A,"$9,022,600",Orion Classics,"March 4, 1988",Foreign,1 hrs. 43 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Babies,N/A,N/A,"$7,762,300",Focus Features,"May 7, 2010",Documentary,1 hrs. 19 min.,PG,N/A,"$9,495,362",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baby Blues,N/A,N/A,"$20,200",Unknown,"January 11, 2008",Drama,1 hrs. 26 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baby Boom,Charles Shyer,N/A,"$57,592,400",United Artists,"October 9, 1987",Comedy,1 hrs. 50 min.,PG,N/A,N/A,Diane Keaton,N/A,N/A,N/A,N/A,N/A,Nancy Meyers,N/A,N/A,N/A,N/A,N/A,Nancy Meyers,Charles Shyer,N/A,N/A
Baby Boy,John Singleton,N/A,"$42,797,200",Sony / Columbia,"June 27, 2001",Drama,2 hrs. 9 min.,R,$16 million,"$29,381,649",Mo'Nique,Snoop Dogg,Tyrese Gibson,Taraji P. Henson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,David Arnold,N/A
Baby Geniuses,N/A,N/A,"$45,221,200",Sony / Columbia,"March 12, 1999",Family Comedy,1 hrs. 35 min.,PG,$12 million,"$36,450,736",N/A,N/A,N/A,N/A,N/A,N/A,Steven Paul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baby Mama,N/A,N/A,"$71,025,900",Universal,"April 25, 2008",Comedy,1 hrs. 36 min.,PG-13,$30 million,"$64,163,648",Will Forte,Tina Fey,Greg Kinnear,Sigourney Weaver,Steve Martin,N/A,Lorne Michaels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baby's Day Out,N/A,N/A,"$33,936,600",Fox,"July 1, 1994",Family Comedy,1 hrs. 39 min.,PG,$48 million,N/A,N/A,N/A,N/A,N/A,N/A,N/A,John Hughes,Richard Vane,N/A,N/A,N/A,N/A,John Hughes,N/A,N/A,N/A
"Baby, It's You",N/A,N/A,"$4,998,600",Paramount,"March 4, 1983",Unknown,1 hrs. 45 min.,R,$3 million,N/A,"Robert Downey, Jr.*",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Baby-Sitters Club,N/A,N/A,"$18,770,800",Sony / Columbia,"August 18, 1995",Family,1 hrs. 34 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Marc Abraham,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Baby:<br/>Secret of the Lost Legend,N/A,N/A,"$35,553,900",Buena Vista,"March 22, 1985",Family Adventure,1 hrs. 35 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jerry Goldsmith,N/A
Babylon A.D.,N/A,N/A,"$26,455,400",Fox,"August 29, 2008",Sci-Fi Thriller,1 hrs. 30 min.,PG-13,$70 million,"$72,108,608",Vin Diesel,Michelle Yeoh,Mark Strong,N/A,N/A,N/A,David Valdes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Atli Orvarsson,N/A
The Babymakers,Jay Chandrasekhar,N/A,"$8,200",Millennium Ent.,"August 3, 2012",Comedy,1 hrs. 35 min.,R,N/A,"$7,889",N/A,N/A,N/A,N/A,N/A,N/A,Brian Kavanaugh-Jones,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Babysitters,N/A,N/A,"$52,700",Peace Arch Entertainment,"May 9, 2008",Drama,1 hrs. 30 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chad Fischer,N/A
The Bachelor,N/A,N/A,"$36,047,300",New Line,"November 5, 1999",Romantic Comedy,1 hrs. 42 min.,PG-13,$51 million,"$36,911,617",Chris O'Donnell,Renee Zellweger,N/A,N/A,N/A,N/A,Michael De Luca,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bachelor Party,N/A,N/A,"$96,433,000",Fox,"June 29, 1984",Comedy,1 hrs. 45 min.,R,N/A,N/A,Tom Hanks,N/A,N/A,N/A,N/A,N/A,Joe Roth,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bachelorette,Leslye Headland,N/A,"$484,800",Radius-TWC,"September 7, 2012",Comedy,1 hrs. 31 min.,R,N/A,"$11,947,954",Kirsten Dunst,Isla Fisher,Rebel Wilson,Adam Scott,James Marsden,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Leslye Headland,N/A,N/A,N/A
Bachna Ae Haseeno,N/A,N/A,"$824,400",Yash Raj,"August 15, 2008",Foreign,2 hrs. 33 min.,Unrated,N/A,"$11,386,430",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Back Door Channels,N/A,N/A,"$13,000",Fisher-Klingenstein Films,"September 16, 2011",Documentary,1 hrs. 35 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Back in Time (Congcong Nanian),N/A,N/A,"$579,600",China Lion,"December 12, 2014",Foreign,N/A,Unrated,N/A,"$569,280",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Back Roads,N/A,N/A,"$35,810,500",Warner Bros.,"March 13, 1981",Comedy,1 hrs. 44 min.,R,N/A,N/A,Sally Field,Tommy Lee Jones,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Back to 1942,N/A,N/A,"$327,800",China Lion,"November 30, 2012",Foreign,2 hrs. 26 min.,Unrated,N/A,"$312,954",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Back to Normandy,N/A,N/A,$600,Kino,"July 30, 2008",Documentary,1 hrs. 53 min.,Unrated,N/A,"$37,430",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Back to School,N/A,N/A,"$207,359,800",Orion Pictures,"June 13, 1986",Comedy,1 hrs. 36 min.,PG-13,N/A,N/A,Keith Gordon,"Robert Downey, Jr.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Harold Ramis,N/A,N/A,N/A
Back to the Beach,N/A,N/A,"$28,267,200",Paramount,"August 7, 1987",Comedy,1 hrs. 32 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Back to the Future,Robert Zemeckis,N/A,"$497,797,000",Universal,"July 3, 1985",Sci-Fi Adventure,1 hrs. 51 min.,PG,$19 million,"$381,109,762",N/A,N/A,N/A,N/A,N/A,N/A,Kathleen Kennedy,Frank Marshall,Steven Spielberg,N/A,N/A,N/A,N/A,N/A,Alan Silvestri,N/A
Back to the Future Day,N/A,N/A,"$1,598,800",Universal Home Entertainment,"October 21, 2015",Action Comedy,N/A,PG,N/A,"$4,850,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Back to the Future Part II,Robert Zemeckis,N/A,"$247,427,000",Universal,"November 22, 1989",Sci-Fi Adventure,1 hrs. 48 min.,PG,$40 million,"$331,950,002",Elijah Wood*,N/A,N/A,N/A,N/A,N/A,Kathleen Kennedy,Frank Marshall,Steven Spielberg,N/A,N/A,N/A,N/A,N/A,Alan Silvestri,N/A
Back to the Future Part III,Robert Zemeckis,N/A,"$174,833,000",Universal,"May 25, 1990",Western,1 hrs. 58 min.,PG,$40 million,"$244,527,583",N/A,N/A,N/A,N/A,N/A,N/A,Kathleen Kennedy,Frank Marshall,Steven Spielberg,N/A,N/A,N/A,N/A,N/A,Alan Silvestri,N/A
Back to the Jurassic,N/A,N/A,"$4,400",CJ Entertainment,"June 9, 2015",Animation,1 hrs. 26 min.,Unrated,N/A,"$4,351",Rob Schneider,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Back-Up Plan,N/A,N/A,"$39,753,500",CBS Films,"April 23, 2010",Romantic Comedy,1 hrs. 38 min.,PG-13,$35 million,"$77,477,008",Jennifer Lopez,Melissa McCarthy,N/A,N/A,N/A,N/A,Todd Black,David Bloomfield,Jason Blumenthal,Steve Tisch,N/A,N/A,N/A,N/A,Stephen Trask,N/A
Backbeat,Iain Softley,N/A,"$4,825,200",Gramercy,"April 15, 1994",Music Drama,1 hrs. 40 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Backcountry,N/A,N/A,"$14,400",IFC,"March 20, 2015",Drama / Thriller,1 hrs. 32 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Backdraft,Ron Howard,N/A,"$155,922,100",Universal,"May 24, 1991",Action Drama,2 hrs. 15 min.,R,N/A,"$152,368,585",Robert DeNiro,Kurt Russell,N/A,N/A,N/A,N/A,Brian Grazer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hans Zimmer,N/A
Backseat,N/A,N/A,"$14,500",Truly Indie,"March 28, 2008",Comedy,1 hrs. 20 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Backstage,N/A,N/A,"$1,864,000",Miramax,"September 6, 2000",Documentary,1 hrs. 27 min.,R,N/A,"$1,191,835",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Backstage (2006),N/A,N/A,"$15,900",Strand,"November 22, 2006",Foreign,1 hrs. 55 min.,Unrated,N/A,"$40,507",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Backstreet Boys:<br/>Show 'Em What You're Made Of,N/A,N/A,"$158,900",Gravitas Ventures,"January 30, 2015",Documentary,1 hrs. 41 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Backwards,N/A,N/A,"$63,800",Dada Films,"September 21, 2012",Drama,1 hrs. 29 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Backyard,N/A,N/A,"$4,500",Hiqi Media,"August 29, 2003",Documentary,1 hrs. 20 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bad Blood (re-issue),N/A,N/A,"$8,700",Wellspring,"April 27, 2001",Foreign,1 hrs. 45 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bad Blood the Hunger,N/A,N/A,"$3,900",Gravity Arch,"October 26, 2012",Horror,1 hrs. 47 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bad Boys,Michael Bay,N/A,"$127,529,500",Sony / Columbia,"April 7, 1995",Action Comedy,2 hrs. 3 min.,R,$19 million,"$141,407,024",Will Smith,Martin Lawrence,Tea Leoni,N/A,N/A,N/A,Jerry Bruckheimer,N/A,N/A,N/A,N/A,N/A,George Gallo,N/A,Mark Mancina,N/A
Bad Boys (1983),N/A,N/A,"$24,596,400",Universal,"March 25, 1983",Unknown,1 hrs. 43 min.,R,N/A,N/A,Sean Penn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bad Boys II,Michael Bay,N/A,"$193,776,000",Sony / Columbia,"July 18, 2003",Action Comedy,2 hrs. 27 min.,R,$130 million,"$273,339,556",Martin Lawrence,Will Smith,N/A,N/A,N/A,N/A,Jerry Bruckheimer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Trevor Rabin,N/A
